rank;country;population2023;yearlychange;netchange;density;land area;migrants;fert.rate;medianage;urbanpop%;worldshare;population_share
133;Mongolia;3447157;;48791;2;1553560;-850;2.7;27.0;;;0.0004285429099125692
169;Montenegro;626485;;-597;47;13450;-480;1.7;39.0;;;7.788322519588633e-05
230;Montserrat;4386;;-4;44;100;0;1.6;44.0;;;5.452577886288696e-07
39;Morocco;37840044;;382073;85;446300;-39998;2.3;29.0;;;0.0047041903130549765
48;Mozambique;33897354;;927836;43;786380;-5000;4.5;17.0;;;0.004214043840038753
27;Myanmar;54577997;;398691;84;653290;-34998;2.1;30.0;;;0.006785015492935039
145;Namibia;2604172;;37160;3;823290;-3916;3.2;21.0;;;0.00032374488507278177
224;Nauru;12780;;112;639;20;-140;3.4;20.0;;;1.588781244568389e-06
49;Nepal;30896590;;349010;216;143350;-62012;2.0;24.0;;;0.00384099551745847
72;Netherlands;17618299;;54285;522;33720;29998;1.6;42.0;;;0.0021902678413456968
186;New Caledonia;292991;;3041;16;18280;500;2.0;34.0;;;3.642399105065234e-05
123;New Zealand;5228100;;42812;20;263310;12999;1.8;37.0;;;0.0006499457922322375
106;Nicaragua;7046310;;97918;59;120340;-8000;2.3;25.0;;;0.0008759816253063134
54;Niger;27202843;;994866;21;1266700;1000;6.7;15.0;;;0.0033817970858637317
6;Nigeria;223804632;;5263420;246;910770;-59996;5.1;17.0;;;0.0278228952870994
232;Niue;1935;;1;7;260;0;2.4;36.0;;;2.4055490674803076e-07
56;North Korea;26160821;;91405;217;120410;-2000;1.8;36.0;;;0.003252255222794276
150;North Macedonia;2085679;;-7920;83;25220;-1000;1.4;39.0;;;0.0002592869857112796
208;Northern Mariana Islands;49796;;245;108;460;-50;2.1;38.0;;;6.190528235878522e-06
119;Norway;5474360;;40041;15;365268;27998;1.5;40.0;;;0.0006805602890465889
127;Oman;4644384;;68086;15;309500;0;2.5;29.0;;;0.0005773795142232796
5;Pakistan;240485658;;4660796;312;770880;-165988;3.3;21.0;;;0.02989664342864538
221;Palau;18058;;3;39;460;-20;2.3;36.0;;;2.2449304940857568e-06
128;Panama;4468087;;59506;60;74340;7262;2.3;29.0;;;0.0005554626623395806
92;Papua New Guinea;10329931;;187312;23;452860;-800;3.1;22.0;;;0.001284194102541908
108;Paraguay;6861524;;80780;17;397300;-12499;2.4;26.0;;;0.0008530094397774547
45;Peru;34352719;;303131;27;1280000;-61442;2.1;29.0;;;0.00427065380650455
13;Philippines;117337368;;1778359;394;298170;-69996;2.7;25.0;;;0.014587121249250318
37;Poland;41026067;;1168922;134;306230;-910475;1.5;40.0;;;0.005100269623474657
93;Portugal;10247605;;-23260;112;91590;9999;1.4;46.0;;;0.0012739595168814748
136;Puerto Rico;3260314;;7907;368;8870;19835;1.3;44.0;;;0.00040531500270764813
143;Qatar;2716391;;21269;234;11610;0;1.8;34.0;;;0.0003376957021685736
64;Romania;19892812;;233545;86;230170;-254616;1.7;41.0;;;0.002473030250964396
9;Russia;144444359;;-268955;9;16376870;-136414;1.5;39.0;;;0.017957002227144223
76;Rwanda;14094683;;317985;571;24670;-8999;3.7;19.0;;;0.0017522197181953768
161;Réunion;981796;;7744;393;2500;-630;2.2;34.0;;;0.0001220547003749817
227;Saint Barthelemy;10994;;27;524;21;0;1.0;40.0;;;1.3667496872288631e-06
229;Saint Helena;5314;;-60;14;390;0;1.6;53.0;;;6.606246896429124e-07
209;Saint Kitts & Nevis;47755;;98;184;260;20;1.5;35.0;;;5.936795644316387e-06
191;Saint Lucia;180251;;394;295;610;0;1.4;34.0;;;2.240840439082134e-05
218;Saint Martin;32077;;286;605;53;0;2.4;39.0;;;3.987741469641645e-06
228;Saint Pierre & Miquelon;5840;;-22;25;230;0;1.6;44.0;;;7.260158425883718e-07
189;Samoa;225681;;3299;80;2830;-1500;3.8;21.0;;;2.8056161193696293e-05
216;San Marino;33642;;-18;561;60;100;1.1;47.0;;;4.182298797321576e-06
188;Sao Tome & Principe;231856;;4476;242;960;-600;3.7;19.0;;;2.8823823493008483e-05
40;Saudi Arabia;36947025;;538205;17;2149690;28998;2.4;31.0;;;0.004593172172347369
71;Senegal;17763163;;446714;92;192530;-19999;4.3;18.0;;;0.002208277012410889
105;Serbia;7149077;;-72288;82;87460;-9999;1.5;43.0;;;0.0008887573907335873
196;Seychelles;107660;;542;234;460;-200;2.3;33.0;;;1.338405233100413e-05
102;Sierra Leone;8791092;;185374;122;72180;-4000;3.8;19.0;;;0.0010928890523376532
114;Singapore;6014723;;39034;8592;700;26998;1.0;43.0;;;0.0007477370182843595
211;Sint Maarten;44222;;47;1301;34;0;1.6;48.0;;;5.4975809231066745e-06
116;Slovakia;5795199;;151746;121;48088;-112067;1.6;40.0;;;0.0007204462816699127
149;Slovenia;2119675;;-169;105;20140;2000;1.6;44.0;;;0.00026351329300316903
166;Solomon Islands;740424;;16151;26;27990;-1600;3.9;19.0;;;9.204786887545422e-05
69;Somalia;18143378;;545867;29;627340;-30000;6.1;15.0;;;0.002255544497614611
24;South Africa;60414495;;520610;50;1213090;58496;2.3;28.0;;;0.007510595974653421
29;South Korea;51784059;;-31751;533;97230;29998;0.9;44.0;;;0.0064376793197826986
86;South Sudan;11088796;;175632;18;610952;-23291;4.3;17.0;;;0.0013785345156216726
32;Spain;47519628;;-39002;95;498800;39998;1.3;45.0;;;0.00590753471950445
61;Sri Lanka;21893579;;61436;349;62710;-77495;2.0;33.0;;;0.0027217611652328912
198;St. Vincent & Grenadines;103698;;-250;266;390;-200;1.8;33.0;;;1.2891505281631676e-05
121;State of Palestine;5371230;;121158;892;6020;-5000;3.4;20.0;;;0.0006677393962647158
31;Sudan;48109006;;1234802;27;1765048;-9999;4.3;19.0;;;0.005980804884790931
170;Suriname;623236;;5196;4;156000;-1000;2.3;28.0;;;7.74793167245559e-05
87;Sweden;10612086;;62739;26;410340;39998;1.7;40.0;;;0.0013192709861147714
101;Switzerland;8796669;;56197;223;39516;39998;1.5;42.0;;;0.0010935823726037689
60;Syria;23227014;;1101765;126;183630;757103;2.7;22.0;;;0.0028875308458941626
57;Taiwan;23923276;;29882;676;35410;23999;1.2;42.0;;;0.002974088592913386
95;Tajikistan;10143543;;190756;72;139960;-19999;3.1;22.0;;;0.0012610227599274626
22;Tanzania;67438106;;1940358;76;885800;-39997;4.6;17.0;;;0.008383755710642798
20;Thailand;71801279;;104249;141;510890;18999;1.3;40.0;;;0.008926175697278728
155;Timor-Leste;1360596;;19300;91;14870;-5000;3.0;21.0;;;0.00016914627591821377
99;Togo;9053799;;205100;166;54390;-2000;4.1;19.0;;;0.0011255482037004724
